# Data for stock assessment exercise
# minAge
 1
# maxAge
 7
# minYear
 1963
# maxYear
 2007
# catch in numbers
0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8
0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35 0.35
0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2

# minAgeS
 1
# maxAgeS
 5
# minYearS
 1983
# maxYearS
 2007
# survey time (fraction into year)
 0.125
# Q1 survey
4.734 15.856 0.928 16.785 9.425 5.638 15.117 3.953 2.481 13.129 13.088 14.66 9.832 3.441 39.951 2.672 2.112 6.563 2.786 7.755 0.584 6.722 2.272 6.642 3.091
16.699 8.958 18.782 3.627 28.833 6.334 6.328 15.665 4.714 4.346 19.521 4.387 22.062 7.97 6.897 26.368 1.583 3.767 8.647 3.38 2.86 2.051 2.197 1.644 5.83
2.749 4.059 3.217 7.079 1.515 6.204 5.044 1.885 4.254 1.183 2.025 2.876 2.731 5.922 2.247 2.003 8.078 0.738 1.659 4.278 1.144 1.293 0.629 0.994 1.222
1.932 0.905 1.744 2.242 1.789 0.658 2.345 1.034 0.861 0.996 0.688 0.815 1.105 0.679 1.069 0.884 0.764 2.05 0.231 0.496 1.361 0.302 0.551 0.293 0.423
0.798 0.976 0.476 1.28 0.636 0.86 0.394 0.967 0.42 0.288 0.565 0.483 0.276 0.639 0.458 0.505 0.439 0.387 0.394 0.119 0.514 0.497 0.227 0.152 0.261
# End of input
